date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:21	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Jul%202025%2016:38:21%20GMT	https://sakarigin.com/robots.txt		(from )
19:38:22	44690/44690	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Jul%202025%2016:38:21%20GMT	https://sakarigin.com/	C:/Users/user/Desktop/Hairnet/Hairnet/sakarigin.com/index.html	(from )
19:38:22	1241/1241	---M--	200	added ('OK')	image/png	etag:%224d9-5e04a2553bd80%22	https://sakarigin.com/favicon.png	C:/Users/user/Desktop/Hairnet/Hairnet/sakarigin.com/favicon.png	(from https://sakarigin.com/)
19:38:23	45366/45366	---M--	200	added ('OK')	image/jpeg	etag:%22b136-5e04a3d2b4180%22	https://sakarigin.com/sakari-social.jpg	C:/Users/user/Desktop/Hairnet/Hairnet/sakarigin.com/sakari-social.jpg	(from https://sakarigin.com/)
19:38:23	1092/1092	---M--	200	added ('OK')	text/css	etag:%22444-5e04a29bce400%22	https://sakarigin.com/css/reset.css	C:/Users/user/Desktop/Hairnet/Hairnet/sakarigin.com/css/reset.css	(from https://sakarigin.com/)
19:38:23	132625/132625	---MCZ	200	added ('OK')	text/css	etag:W/%2220611-sLKJOE+qePlchKw3ClPJTsZOssE%22	https://cdn.jsdelivr.net/npm/foundation-sites@6.6.3/dist/css/foundation.min.css	C:/Users/user/Desktop/Hairnet/Hairnet/cdn.jsdelivr.net/npm/foundation-sites@6.6.3/dist/css/foundation.min.css	(from https://sakarigin.com/)
19:38:23	3829/3829	---M--	200	added ('OK')	text/css	etag:%22ef5-5e04a26e07800%22	https://sakarigin.com/css/font/font.css	C:/Users/user/Desktop/Hairnet/Hairnet/sakarigin.com/css/font/font.css	(from https://sakarigin.com/)
19:38:24	48941/48941	---M--	200	added ('OK')	text/css	etag:%22bf2d-5e04a29f9ed00%22	https://sakarigin.com/css/style.css??v=77	C:/Users/user/Desktop/Hairnet/Hairnet/sakarigin.com/css/stylee5d5.css	(from https://sakarigin.com/)
19:38:25	97362/97362	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.0/jquery.min.js	C:/Users/user/Desktop/Hairnet/Hairnet/ajax.googleapis.com/ajax/libs/jquery/1.12.0/jquery.min.js	(from https://sakarigin.com/)
19:38:25	61102/61102	---M-Z	200	added ('OK')	application/javascript	etag:%225f46ecc0-eeae%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.5.1/gsap.min.js	C:/Users/user/Desktop/Hairnet/Hairnet/cdnjs.cloudflare.com/ajax/libs/gsap/3.5.1/gsap.min.js	(from https://sakarigin.com/)
19:38:25	19659/19659	---M-Z	200	added ('OK')	application/javascript	etag:%225f46ecc0-4ccb%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.5.1/ScrollTrigger.min.js	C:/Users/user/Desktop/Hairnet/Hairnet/cdnjs.cloudflare.com/ajax/libs/gsap/3.5.1/ScrollTrigger.min.js	(from https://sakarigin.com/)
19:38:27	3942/3942	---M--	200	added ('OK')	application/javascript	etag:%22e0305f4852289e7a64162896b453c4c7%22	https://s3-us-west-2.amazonaws.com/s.cdpn.io/16327/ScrollToPlugin3.min.js	C:/Users/user/Desktop/Hairnet/Hairnet/s3-us-west-2.amazonaws.com/s.cdpn.io/16327/ScrollToPlugin3.min.js	(from https://sakarigin.com/)
19:38:28	23119/23119	---M--	200	added ('OK')	application/x-javascript	etag:%225a4f-5e04ac80c3c00%22	https://sakarigin.com/js/app.js?v=77	C:/Users/user/Desktop/Hairnet/Hairnet/sakarigin.com/js/app512a.js	(from https://sakarigin.com/)
19:38:29	9403/9403	---M--	200	added ('OK')	image/svg+xml	etag:%2224bb-5e04a315e0400%22	https://sakarigin.com/img/logo_small.svg	C:/Users/user/Desktop/Hairnet/Hairnet/sakarigin.com/img/logo_small.svg	(from https://sakarigin.com/)
19:38:30	25111/25111	---M--	200	added ('OK')	image/png	etag:%226217-5e04a31d81600%22	https://sakarigin.com/img/petalo.png	C:/Users/user/Desktop/Hairnet/Hairnet/sakarigin.com/img/petalo.png	(from https://sakarigin.com/)
19:38:31	18484/18484	---M--	200	added ('OK')	image/svg+xml	etag:%224834-5e04a32522800%22	https://sakarigin.com/img/sakari_gin_logo.svg	C:/Users/user/Desktop/Hairnet/Hairnet/sakarigin.com/img/sakari_gin_logo.svg	(from https://sakarigin.com/)
19:38:33	28250/28250	---M--	200	added ('OK')	image/jpeg	etag:%226e5a-5e04a314ec1c0%22	https://sakarigin.com/img/logo_menu.jpg	C:/Users/user/Desktop/Hairnet/Hairnet/sakarigin.com/img/logo_menu.jpg	(from https://sakarigin.com/)
